,Prolongation,Block,Interjection,FileName,NoStutter,Repetition
0,0.0,0.0,0.0,FluencyBank_010_0.wav,1.0,0.0
1,0.0,0.0,0.0,FluencyBank_010_1.wav,1.0,0.0
2,0.0,0.0,0.0,FluencyBank_010_2.wav,1.0,0.0
3,0.0,0.0,0.0,FluencyBank_010_3.wav,1.0,0.0
4,0.0,0.0,0.0,FluencyBank_010_4.wav,0.0,1.0
5,0.0,0.0,0.0,FluencyBank_010_5.wav,1.0,0.0
6,0.0,0.0,0.0,FluencyBank_010_6.wav,1.0,0.0
7,0.0,0.0,0.0,FluencyBank_010_7.wav,1.0,0.0
8,0.0,0.0,0.0,FluencyBank_010_8.wav,1.0,0.0
9,0.0,0.0,0.0,FluencyBank_010_9.wav,1.0,0.0
10,0.0,0.0,0.0,FluencyBank_010_10.wav,1.0,0.0
11,0.0,0.0,0.0,FluencyBank_010_11.wav,1.0,0.0
12,0.0,0.0,0.0,FluencyBank_010_12.wav,1.0,0.0
13,0.0,0.0,0.0,FluencyBank_010_13.wav,1.0,0.0
14,0.0,0.0,0.0,FluencyBank_010_14.wav,1.0,0.0
15,0.0,0.0,0.0,FluencyBank_010_15.wav,1.0,0.0
16,0.0,0.0,0.0,FluencyBank_010_16.wav,1.0,0.0
17,0.0,0.0,1.0,FluencyBank_010_17.wav,1.0,0.0
18,0.0,0.0,1.0,FluencyBank_010_18.wav,1.0,0.0
19,0.0,0.0,1.0,FluencyBank_010_19.wav,1.0,0.0
20,0.0,0.0,0.0,FluencyBank_010_20.wav,1.0,0.0
21,0.0,0.0,0.0,FluencyBank_010_21.wav,1.0,0.0
22,0.0,0.0,0.0,FluencyBank_010_22.wav,1.0,0.0
23,0.0,0.0,0.0,FluencyBank_010_23.wav,1.0,0.0
24,0.0,0.0,0.0,FluencyBank_010_24.wav,1.0,0.0
25,0.0,0.0,0.0,FluencyBank_010_25.wav,1.0,0.0
26,0.0,0.0,0.0,FluencyBank_010_26.wav,1.0,0.0
27,0.0,0.0,0.0,FluencyBank_010_27.wav,1.0,0.0
28,0.0,0.0,0.0,FluencyBank_010_28.wav,0.0,0.0
29,0.0,0.0,0.0,FluencyBank_010_29.wav,1.0,0.0
30,0.0,0.0,0.0,FluencyBank_010_30.wav,1.0,0.0
31,0.0,0.0,0.0,FluencyBank_010_31.wav,1.0,0.0
32,0.0,0.0,0.0,FluencyBank_010_32.wav,1.0,0.0
33,0.0,0.0,0.0,FluencyBank_010_33.wav,1.0,0.0
34,0.0,0.0,0.0,FluencyBank_010_34.wav,1.0,0.0
35,0.0,0.0,0.0,FluencyBank_010_35.wav,1.0,0.0
36,0.0,0.0,0.0,FluencyBank_010_36.wav,1.0,0.0
37,0.0,0.0,0.0,FluencyBank_010_37.wav,1.0,0.0
38,0.0,1.0,0.0,FluencyBank_010_38.wav,0.0,0.0
39,0.0,0.0,0.0,FluencyBank_010_39.wav,1.0,0.0
40,0.0,0.0,1.0,FluencyBank_010_40.wav,1.0,0.0
41,0.0,0.0,1.0,FluencyBank_010_41.wav,1.0,0.0
42,0.0,0.0,0.0,FluencyBank_010_42.wav,1.0,0.0
43,0.0,0.0,0.0,FluencyBank_010_43.wav,1.0,0.0
44,0.0,0.0,0.0,FluencyBank_010_44.wav,1.0,0.0
45,0.0,0.0,0.0,FluencyBank_010_45.wav,1.0,0.0
46,0.0,0.0,0.0,FluencyBank_010_46.wav,1.0,0.0
47,0.0,0.0,0.0,FluencyBank_010_47.wav,1.0,0.0
48,0.0,0.0,0.0,FluencyBank_010_48.wav,1.0,0.0
49,0.0,0.0,1.0,FluencyBank_010_49.wav,1.0,0.0
50,0.0,0.0,1.0,FluencyBank_010_50.wav,1.0,0.0
51,0.0,0.0,0.0,FluencyBank_010_51.wav,1.0,0.0
52,0.0,0.0,0.0,FluencyBank_010_52.wav,1.0,0.0
53,0.0,0.0,0.0,FluencyBank_010_53.wav,1.0,0.0
54,0.0,0.0,0.0,FluencyBank_010_54.wav,1.0,0.0
55,0.0,0.0,0.0,FluencyBank_010_55.wav,1.0,0.0
56,0.0,0.0,0.0,FluencyBank_010_56.wav,1.0,0.0
57,0.0,0.0,0.0,FluencyBank_010_57.wav,1.0,0.0
58,0.0,0.0,0.0,FluencyBank_010_58.wav,1.0,0.0
59,0.0,0.0,0.0,FluencyBank_010_59.wav,1.0,0.0
60,0.0,0.0,0.0,FluencyBank_010_60.wav,1.0,0.0
61,0.0,0.0,0.0,FluencyBank_010_61.wav,1.0,0.0
62,0.0,0.0,0.0,FluencyBank_010_62.wav,1.0,0.0
63,0.0,0.0,0.0,FluencyBank_010_63.wav,1.0,0.0
64,0.0,0.0,0.0,FluencyBank_010_64.wav,1.0,0.0
65,0.0,0.0,0.0,FluencyBank_010_65.wav,1.0,0.0
66,0.0,0.0,0.0,FluencyBank_010_66.wav,1.0,0.0
67,0.0,0.0,0.0,FluencyBank_010_67.wav,1.0,0.0
68,0.0,0.0,0.0,FluencyBank_010_68.wav,1.0,0.0
69,0.0,0.0,0.0,FluencyBank_010_69.wav,1.0,0.0
70,0.0,0.0,0.0,FluencyBank_010_70.wav,1.0,0.0
71,0.0,0.0,0.0,FluencyBank_010_71.wav,1.0,0.0
72,0.0,0.0,0.0,FluencyBank_010_72.wav,1.0,0.0
73,0.0,0.0,0.0,FluencyBank_010_73.wav,1.0,0.0
74,0.0,0.0,0.0,FluencyBank_010_74.wav,1.0,0.0
75,0.0,1.0,0.0,FluencyBank_010_75.wav,0.0,0.0
76,0.0,0.0,0.0,FluencyBank_010_76.wav,1.0,0.0
77,0.0,0.0,0.0,FluencyBank_010_77.wav,1.0,0.0
78,0.0,0.0,1.0,FluencyBank_010_78.wav,1.0,0.0
79,0.0,0.0,1.0,FluencyBank_010_79.wav,0.0,1.0
80,0.0,0.0,0.0,FluencyBank_010_80.wav,1.0,0.0
81,0.0,0.0,0.0,FluencyBank_010_81.wav,1.0,0.0
82,0.0,0.0,0.0,FluencyBank_010_82.wav,0.0,1.0
83,0.0,0.0,0.0,FluencyBank_010_83.wav,1.0,0.0
84,0.0,0.0,0.0,FluencyBank_010_84.wav,1.0,0.0
85,0.0,0.0,1.0,FluencyBank_010_85.wav,1.0,0.0
86,0.0,0.0,1.0,FluencyBank_010_86.wav,1.0,0.0
87,0.0,0.0,0.0,FluencyBank_010_87.wav,1.0,0.0
88,0.0,0.0,0.0,FluencyBank_010_88.wav,1.0,0.0
89,0.0,0.0,0.0,FluencyBank_010_89.wav,1.0,0.0
90,0.0,0.0,0.0,FluencyBank_010_90.wav,1.0,0.0
91,0.0,0.0,0.0,FluencyBank_010_91.wav,1.0,0.0
92,0.0,0.0,0.0,FluencyBank_010_92.wav,1.0,0.0
93,0.0,0.0,0.0,FluencyBank_010_93.wav,1.0,0.0
94,0.0,0.0,0.0,FluencyBank_010_94.wav,1.0,0.0
95,0.0,0.0,0.0,FluencyBank_010_95.wav,1.0,0.0
96,0.0,0.0,0.0,FluencyBank_010_96.wav,1.0,0.0
97,0.0,0.0,0.0,FluencyBank_010_97.wav,0.0,1.0
98,0.0,0.0,0.0,FluencyBank_010_98.wav,1.0,0.0
99,0.0,0.0,0.0,FluencyBank_010_99.wav,1.0,0.0
100,0.0,0.0,0.0,FluencyBank_016_0.wav,1.0,0.0
101,0.0,0.0,0.0,FluencyBank_016_1.wav,1.0,0.0
102,0.0,0.0,1.0,FluencyBank_016_2.wav,1.0,0.0
103,0.0,0.0,0.0,FluencyBank_016_3.wav,1.0,0.0
104,0.0,0.0,0.0,FluencyBank_016_4.wav,1.0,0.0
105,0.0,0.0,0.0,FluencyBank_016_5.wav,0.0,0.0
106,0.0,0.0,0.0,FluencyBank_016_6.wav,0.0,0.0
107,0.0,0.0,0.0,FluencyBank_016_7.wav,1.0,0.0
108,0.0,0.0,1.0,FluencyBank_016_8.wav,1.0,0.0
109,0.0,0.0,1.0,FluencyBank_016_9.wav,1.0,0.0
110,0.0,0.0,0.0,FluencyBank_016_10.wav,1.0,0.0
111,0.0,0.0,0.0,FluencyBank_016_11.wav,1.0,0.0
112,0.0,0.0,0.0,FluencyBank_016_12.wav,0.0,0.0
113,1.0,0.0,0.0,FluencyBank_016_13.wav,0.0,0.0
114,0.0,0.0,0.0,FluencyBank_016_14.wav,1.0,0.0
115,0.0,0.0,0.0,FluencyBank_016_15.wav,1.0,0.0
116,0.0,0.0,0.0,FluencyBank_016_16.wav,1.0,0.0
117,0.0,1.0,0.0,FluencyBank_016_17.wav,0.0,0.0
118,0.0,0.0,0.0,FluencyBank_016_18.wav,1.0,0.0
119,0.0,0.0,0.0,FluencyBank_016_19.wav,1.0,0.0
120,0.0,0.0,0.0,FluencyBank_016_20.wav,0.0,0.0
