,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Prolongation,Block,Interjection,FileName,Stutter,Repetition
0,,train,test,test,0.0,0.0,0.0,HeStutters_0_0.wav,0.0,0.0
1,,train,test,test,0.0,0.0,0.0,HeStutters_0_1.wav,0.0,0.0
2,,train,test,test,0.0,0.0,0.0,HeStutters_0_2.wav,0.0,0.0
3,,train,test,test,0.0,0.0,0.0,HeStutters_0_3.wav,0.0,0.0
4,,train,test,test,0.0,0.0,0.0,HeStutters_0_4.wav,0.0,0.0
5,,train,test,test,0.0,0.0,0.0,HeStutters_0_5.wav,0.0,0.0
6,,train,test,test,0.0,0.0,0.0,HeStutters_0_6.wav,0.0,0.0
7,,train,test,test,0.0,0.0,0.0,HeStutters_0_7.wav,0.0,0.0
8,,train,test,test,0.0,0.0,0.0,HeStutters_0_8.wav,0.0,0.0
9,,train,test,test,0.0,0.0,0.0,HeStutters_0_9.wav,0.0,0.0
10,,train,test,test,0.0,0.0,0.0,HeStutters_0_10.wav,0.0,0.0
11,train,test,train,dev,0.0,0.0,0.0,HeStutters_0_11.wav,0.0,0.0
12,,train,test,test,0.0,0.0,0.0,HeStutters_0_12.wav,0.0,0.0
13,,train,test,test,0.0,0.0,0.0,HeStutters_0_13.wav,0.0,0.0
14,,train,test,test,0.0,0.0,0.0,HeStutters_0_14.wav,0.0,0.0
15,,train,test,test,0.0,0.0,0.0,HeStutters_0_15.wav,0.0,0.0
16,,train,test,test,0.0,0.0,0.0,HeStutters_0_16.wav,0.0,0.0
17,,train,test,test,0.0,0.0,0.0,HeStutters_0_17.wav,0.0,0.0
18,,train,test,test,0.0,0.0,0.0,HeStutters_0_18.wav,0.0,0.0
19,,train,test,test,0.0,0.0,0.0,HeStutters_0_19.wav,0.0,0.0
20,,train,test,test,0.0,0.0,0.0,HeStutters_0_20.wav,0.0,0.0
21,,train,test,test,0.0,0.0,0.0,HeStutters_0_21.wav,0.0,0.0
22,,train,test,test,0.0,0.0,0.0,HeStutters_0_22.wav,0.0,0.0
23,,train,test,test,0.0,0.0,0.0,HeStutters_0_23.wav,0.0,0.0
24,,train,test,test,0.0,0.0,0.0,HeStutters_0_24.wav,0.0,0.0
25,,train,test,test,0.0,0.0,0.0,HeStutters_0_25.wav,0.0,0.0
26,train,test,train,dev,0.0,0.0,0.0,HeStutters_0_26.wav,0.0,0.0
27,train,test,train,dev,0.0,0.0,0.0,HeStutters_0_27.wav,1.0,1.0
